Vardas              Pavarde             Galutinis(vid.)/  Galutinis(med.)
Vardas3904          Pavarde3904         3                 5
Vardas3905          Pavarde3905         4.8               3
Vardas3906          Pavarde3906         4.8               4
Vardas3907          Pavarde3907         0.6               5
Vardas3908          Pavarde3908         0.6               3
Vardas3909          Pavarde3909         6                 3
Vardas3910          Pavarde3910         3                 5
Vardas3911          Pavarde3911         1.2               6
Vardas3912          Pavarde3912         5.4               5
Vardas3913          Pavarde3913         0.6               4
Vardas3914          Pavarde3914         0.6               4
Vardas3915          Pavarde3915         4.8               6
Vardas3916          Pavarde3916         6                 5
Vardas3917          Pavarde3917         4.8               4
Vardas3918          Pavarde3918         2.4               6
Vardas3919          Pavarde3919         3.6               4
Vardas3920          Pavarde3920         6                 7
Vardas3921          Pavarde3921         0.6               5
Vardas3922          Pavarde3922         5.4               5
Vardas3923          Pavarde3923         5.4               5
Vardas3924          Pavarde3924         0.6               8
Vardas3925          Pavarde3925         4.8               4
Vardas3926          Pavarde3926         5.4               6
Vardas3927          Pavarde3927         0.6               6
Vardas3928          Pavarde3928         2.4               3
Vardas3929          Pavarde3929         6                 6
Vardas3930          Pavarde3930         1.2               6
Vardas3931          Pavarde3931         3.6               2
Vardas3932          Pavarde3932         4.2               8
Vardas3933          Pavarde3933         1.8               6
Vardas3934          Pavarde3934         4.8               7
Vardas3935          Pavarde3935         4.2               5
Vardas3936          Pavarde3936         2.4               7
Vardas3937          Pavarde3937         6                 5
Vardas3938          Pavarde3938         3.6               3
Vardas3939          Pavarde3939         1.8               5
Vardas3940          Pavarde3940         2.4               5
Vardas3941          Pavarde3941         0.6               4
Vardas3942          Pavarde3942         1.8               5
Vardas3943          Pavarde3943         3                 5
Vardas3944          Pavarde3944         1.2               6
Vardas3945          Pavarde3945         6                 6
Vardas3946          Pavarde3946         6                 5
Vardas3947          Pavarde3947         1.2               6
Vardas3948          Pavarde3948         3                 5
Vardas3949          Pavarde3949         6                 4
Vardas3950          Pavarde3950         4.2               6
Vardas3951          Pavarde3951         0.6               4
Vardas3952          Pavarde3952         4.2               4
Vardas3953          Pavarde3953         4.8               5
Vardas3954          Pavarde3954         4.8               4
Vardas3955          Pavarde3955         6                 3
Vardas3956          Pavarde3956         3.6               3
Vardas3957          Pavarde3957         4.8               5
Vardas3958          Pavarde3958         1.8               6
Vardas3959          Pavarde3959         1.2               5
Vardas3960          Pavarde3960         4.8               4
Vardas3961          Pavarde3961         1.8               6
Vardas3962          Pavarde3962         5.4               5
Vardas3963          Pavarde3963         1.2               4
Vardas3964          Pavarde3964         2.4               5
Vardas3965          Pavarde3965         5.4               5
Vardas3966          Pavarde3966         1.8               6
Vardas3967          Pavarde3967         0.6               5
Vardas3968          Pavarde3968         4.8               5
Vardas3969          Pavarde3969         4.2               5
Vardas3970          Pavarde3970         2.4               4
Vardas3971          Pavarde3971         3.6               3
Vardas3972          Pavarde3972         2.4               5
Vardas3973          Pavarde3973         4.2               5
Vardas3974          Pavarde3974         2.4               3
Vardas3975          Pavarde3975         0.6               8
Vardas3976          Pavarde3976         5.4               6
Vardas3977          Pavarde3977         2.4               5
Vardas3978          Pavarde3978         4.2               4
Vardas3979          Pavarde3979         3                 4
Vardas3980          Pavarde3980         1.2               3
Vardas3981          Pavarde3981         5.4               5
Vardas3982          Pavarde3982         4.2               6
Vardas3983          Pavarde3983         5.4               6
Vardas3984          Pavarde3984         2.4               6
Vardas3985          Pavarde3985         4.2               8
Vardas3986          Pavarde3986         2.4               6
Vardas3987          Pavarde3987         1.2               7
Vardas3988          Pavarde3988         1.2               6
Vardas3989          Pavarde3989         1.8               3
Vardas3990          Pavarde3990         2.4               5
Vardas3991          Pavarde3991         3.6               4
Vardas3992          Pavarde3992         4.8               5
Vardas3993          Pavarde3993         6                 8
Vardas3994          Pavarde3994         6                 5
Vardas3995          Pavarde3995         2.4               7
Vardas3996          Pavarde3996         5.4               6
Vardas3997          Pavarde3997         2.4               5
Vardas3998          Pavarde3998         6                 4
Vardas3999          Pavarde3999         1.2               3
Vardas4000          Pavarde4000         1.8               4
Vardas4001          Pavarde4001         3.6               4
Vardas4002          Pavarde4002         4.8               6
Vardas4003          Pavarde4003         0.6               4
Vardas4004          Pavarde4004         3                 6
Vardas4005          Pavarde4005         4.8               5
Vardas4006          Pavarde4006         0.6               6
Vardas4007          Pavarde4007         4.2               4
Vardas4008          Pavarde4008         1.2               7
Vardas4009          Pavarde4009         1.2               4
Vardas4010          Pavarde4010         5.4               4
Vardas4011          Pavarde4011         3.6               6
Vardas4012          Pavarde4012         1.2               6
Vardas4013          Pavarde4013         4.2               4
Vardas4014          Pavarde4014         6                 5
Vardas4015          Pavarde4015         3                 6
Vardas4016          Pavarde4016         5.4               6
Vardas4017          Pavarde4017         2.4               6
Vardas4018          Pavarde4018         0.6               5
Vardas4019          Pavarde4019         1.2               3
Vardas4020          Pavarde4020         0.6               2
Vardas4021          Pavarde4021         3.6               6
Vardas4022          Pavarde4022         3                 5
Vardas4023          Pavarde4023         3                 5
Vardas4024          Pavarde4024         3.6               6
Vardas4025          Pavarde4025         4.2               6
Vardas4026          Pavarde4026         4.2               3
Vardas4027          Pavarde4027         1.8               5
Vardas4028          Pavarde4028         6                 6
Vardas4029          Pavarde4029         1.8               5
Vardas4030          Pavarde4030         4.8               5
Vardas4031          Pavarde4031         5.4               5
Vardas4032          Pavarde4032         5.4               4
Vardas4033          Pavarde4033         4.2               7
Vardas4034          Pavarde4034         6                 5
Vardas4035          Pavarde4035         3                 6
Vardas4036          Pavarde4036         6                 4
Vardas4037          Pavarde4037         1.8               5
Vardas4038          Pavarde4038         3                 5
Vardas4039          Pavarde4039         5.4               5
Vardas4040          Pavarde4040         1.8               2
Vardas4041          Pavarde4041         5.4               4
Vardas4042          Pavarde4042         1.2               5
Vardas4043          Pavarde4043         0.6               3
Vardas4044          Pavarde4044         3.6               5
Vardas4045          Pavarde4045         6                 6
Vardas4046          Pavarde4046         4.8               4
Vardas4047          Pavarde4047         3.6               6
Vardas4048          Pavarde4048         3.6               6
Vardas4049          Pavarde4049         3                 6
Vardas4050          Pavarde4050         4.2               4
Vardas4051          Pavarde4051         0.6               5
Vardas4052          Pavarde4052         0.6               6
Vardas4053          Pavarde4053         1.8               6
Vardas4054          Pavarde4054         3.6               7
Vardas4055          Pavarde4055         3                 3
Vardas4056          Pavarde4056         1.2               6
Vardas4057          Pavarde4057         3                 3
Vardas4058          Pavarde4058         4.2               4
Vardas4059          Pavarde4059         5.4               5
Vardas4060          Pavarde4060         4.8               2
Vardas4061          Pavarde4061         3.6               5
Vardas4062          Pavarde4062         3                 4
Vardas4063          Pavarde4063         4.8               4
Vardas4064          Pavarde4064         1.2               6
Vardas4065          Pavarde4065         1.8               2
Vardas4066          Pavarde4066         0.6               5
Vardas4067          Pavarde4067         4.8               4
Vardas4068          Pavarde4068         3                 7
Vardas4069          Pavarde4069         1.8               6
Vardas4070          Pavarde4070         2.4               6
Vardas4071          Pavarde4071         5.4               6
Vardas4072          Pavarde4072         2.4               5
Vardas4073          Pavarde4073         0.6               6
Vardas4074          Pavarde4074         1.8               5
Vardas4075          Pavarde4075         5.4               3
Vardas4076          Pavarde4076         2.4               7
Vardas4077          Pavarde4077         4.8               5
Vardas4078          Pavarde4078         4.8               7
Vardas4079          Pavarde4079         3.6               6
Vardas4080          Pavarde4080         3                 3
Vardas4081          Pavarde4081         1.8               7
Vardas4082          Pavarde4082         4.8               5
Vardas4083          Pavarde4083         4.8               5
Vardas4084          Pavarde4084         6                 7
Vardas4085          Pavarde4085         1.2               4
Vardas4086          Pavarde4086         3.6               4
Vardas4087          Pavarde4087         0.6               4
Vardas4088          Pavarde4088         0.6               2
Vardas4089          Pavarde4089         3                 4
Vardas4090          Pavarde4090         3                 5
Vardas4091          Pavarde4091         4.8               6
Vardas4092          Pavarde4092         3.6               5
Vardas4093          Pavarde4093         3.6               8
Vardas4094          Pavarde4094         1.8               3
Vardas4095          Pavarde4095         6                 6
Vardas4096          Pavarde4096         4.2               7
Vardas4097          Pavarde4097         5.4               4
Vardas4098          Pavarde4098         3.6               4
Vardas4099          Pavarde4099         3.6               6
Vardas4100          Pavarde4100         1.2               3
Vardas4101          Pavarde4101         5.4               4
Vardas4102          Pavarde4102         0.6               5
Vardas4103          Pavarde4103         1.8               4
Vardas4104          Pavarde4104         4.2               6
Vardas4105          Pavarde4105         1.8               2
Vardas4106          Pavarde4106         3.6               6
Vardas4107          Pavarde4107         1.8               4
Vardas4108          Pavarde4108         1.2               4
Vardas4109          Pavarde4109         3.6               5
Vardas4110          Pavarde4110         4.2               4
Vardas4111          Pavarde4111         1.2               6
Vardas4112          Pavarde4112         5.4               5
Vardas4113          Pavarde4113         1.2               6
Vardas4114          Pavarde4114         3.6               5
Vardas4115          Pavarde4115         6                 4
Vardas4116          Pavarde4116         4.8               5
Vardas4117          Pavarde4117         4.8               3
Vardas4118          Pavarde4118         0.6               4
Vardas4119          Pavarde4119         5.4               4
Vardas4120          Pavarde4120         1.2               3
Vardas4121          Pavarde4121         0.6               4
Vardas4122          Pavarde4122         1.8               5
Vardas4123          Pavarde4123         3                 6
Vardas4124          Pavarde4124         3.6               7
Vardas4125          Pavarde4125         1.2               4
Vardas4126          Pavarde4126         4.8               4
Vardas4127          Pavarde4127         6                 4
Vardas4128          Pavarde4128         1.2               7
Vardas4129          Pavarde4129         2.4               5
Vardas4130          Pavarde4130         3.6               4
Vardas4131          Pavarde4131         3                 5
Vardas4132          Pavarde4132         4.2               7
Vardas4133          Pavarde4133         2.4               6
Vardas4134          Pavarde4134         3.6               4
Vardas4135          Pavarde4135         6                 4
Vardas4136          Pavarde4136         1.8               3
Vardas4137          Pavarde4137         2.4               6
Vardas4138          Pavarde4138         0.6               6
Vardas4139          Pavarde4139         2.4               5
Vardas4140          Pavarde4140         0.6               3
Vardas4141          Pavarde4141         4.2               7
Vardas4142          Pavarde4142         6                 4
Vardas4143          Pavarde4143         6                 5
Vardas4144          Pavarde4144         1.2               6
Vardas4145          Pavarde4145         2.4               5
Vardas4146          Pavarde4146         5.4               6
Vardas4147          Pavarde4147         0.6               6
Vardas4148          Pavarde4148         1.8               6
Vardas4149          Pavarde4149         2.4               6
Vardas4150          Pavarde4150         5.4               7
Vardas4151          Pavarde4151         3.6               5
Vardas4152          Pavarde4152         5.4               7
Vardas4153          Pavarde4153         4.2               6
Vardas4154          Pavarde4154         4.8               5
Vardas4155          Pavarde4155         6                 4
Vardas4156          Pavarde4156         3                 5
Vardas4157          Pavarde4157         1.2               8
Vardas4158          Pavarde4158         2.4               5
Vardas4159          Pavarde4159         2.4               3
Vardas4160          Pavarde4160         6                 4
Vardas4161          Pavarde4161         3.6               6
Vardas4162          Pavarde4162         1.8               5
Vardas4163          Pavarde4163         6                 4
Vardas4164          Pavarde4164         1.8               4
Vardas4165          Pavarde4165         6                 4
Vardas4166          Pavarde4166         1.2               4
Vardas4167          Pavarde4167         2.4               4
Vardas4168          Pavarde4168         6                 3
Vardas4169          Pavarde4169         1.8               6
Vardas4170          Pavarde4170         6                 4
Vardas4171          Pavarde4171         3.6               6
Vardas4172          Pavarde4172         6                 7
Vardas4173          Pavarde4173         1.8               2
Vardas4174          Pavarde4174         1.2               5
Vardas4175          Pavarde4175         3                 4
Vardas4176          Pavarde4176         4.8               6
Vardas4177          Pavarde4177         6                 6
Vardas4178          Pavarde4178         2.4               5
Vardas4179          Pavarde4179         3                 4
Vardas4180          Pavarde4180         3                 5
Vardas4181          Pavarde4181         3                 5
Vardas4182          Pavarde4182         4.2               4
Vardas4183          Pavarde4183         0.6               3
Vardas4184          Pavarde4184         1.2               5
Vardas4185          Pavarde4185         1.2               5
Vardas4186          Pavarde4186         1.8               6
Vardas4187          Pavarde4187         6                 6
Vardas4188          Pavarde4188         6                 3
Vardas4189          Pavarde4189         2.4               5
Vardas4190          Pavarde4190         3                 4
Vardas4191          Pavarde4191         1.2               7
Vardas4192          Pavarde4192         3                 7
Vardas4193          Pavarde4193         1.2               4
Vardas4194          Pavarde4194         2.4               4
Vardas4195          Pavarde4195         6                 4
Vardas4196          Pavarde4196         6                 7
Vardas4197          Pavarde4197         1.8               5
Vardas4198          Pavarde4198         4.2               6
Vardas4199          Pavarde4199         1.2               5
Vardas4200          Pavarde4200         6                 3
Vardas4201          Pavarde4201         0.6               7
Vardas4202          Pavarde4202         4.2               6
Vardas4203          Pavarde4203         0.6               7
Vardas4204          Pavarde4204         5.4               5
Vardas4205          Pavarde4205         6                 4
Vardas4206          Pavarde4206         2.4               3
Vardas4207          Pavarde4207         1.8               5
Vardas4208          Pavarde4208         1.2               7
Vardas4209          Pavarde4209         4.8               6
Vardas4210          Pavarde4210         3                 6
Vardas4211          Pavarde4211         3.6               6
Vardas4212          Pavarde4212         5.4               7
Vardas4213          Pavarde4213         3                 5
Vardas4214          Pavarde4214         0.6               5
Vardas4215          Pavarde4215         2.4               6
Vardas4216          Pavarde4216         0.6               4
Vardas4217          Pavarde4217         2.4               5
Vardas4218          Pavarde4218         2.4               6
Vardas4219          Pavarde4219         6                 6
Vardas4220          Pavarde4220         1.2               5
Vardas4221          Pavarde4221         0.6               4
Vardas4222          Pavarde4222         1.2               5
Vardas4223          Pavarde4223         4.2               3
Vardas4224          Pavarde4224         3.6               5
Vardas4225          Pavarde4225         1.2               4
Vardas4226          Pavarde4226         6                 5
Vardas4227          Pavarde4227         5.4               4
Vardas4228          Pavarde4228         5.4               4
Vardas4229          Pavarde4229         1.2               5
Vardas4230          Pavarde4230         1.2               4
Vardas4231          Pavarde4231         2.4               4
Vardas4232          Pavarde4232         5.4               5
Vardas4233          Pavarde4233         4.8               5
Vardas4234          Pavarde4234         4.8               5
Vardas4235          Pavarde4235         4.8               5
Vardas4236          Pavarde4236         5.4               4
Vardas4237          Pavarde4237         1.2               6
Vardas4238          Pavarde4238         1.8               5
Vardas4239          Pavarde4239         5.4               3
Vardas4240          Pavarde4240         3                 6
Vardas4241          Pavarde4241         1.2               5
Vardas4242          Pavarde4242         1.8               6
Vardas4243          Pavarde4243         0.6               4
Vardas4244          Pavarde4244         6                 4
Vardas4245          Pavarde4245         4.8               4
Vardas4246          Pavarde4246         3.6               4
Vardas4247          Pavarde4247         1.8               3
Vardas4248          Pavarde4248         4.8               5
Vardas4249          Pavarde4249         3                 2
Vardas4250          Pavarde4250         0.6               6
Vardas4251          Pavarde4251         1.8               7
Vardas4252          Pavarde4252         6                 4
Vardas4253          Pavarde4253         0.6               5
Vardas4254          Pavarde4254         4.2               5
Vardas4255          Pavarde4255         3.6               4
Vardas4256          Pavarde4256         6                 4
Vardas4257          Pavarde4257         3.6               4
Vardas4258          Pavarde4258         1.8               4
Vardas4259          Pavarde4259         4.8               6
Vardas4260          Pavarde4260         3                 3
Vardas4261          Pavarde4261         5.4               6
Vardas4262          Pavarde4262         3.6               4
Vardas4263          Pavarde4263         4.8               4
Vardas4264          Pavarde4264         1.2               7
Vardas4265          Pavarde4265         2.4               6
Vardas4266          Pavarde4266         0.6               6
Vardas4267          Pavarde4267         4.2               5
Vardas4268          Pavarde4268         5.4               6
Vardas4269          Pavarde4269         2.4               6
Vardas4270          Pavarde4270         1.2               5
Vardas4271          Pavarde4271         6                 5
Vardas4272          Pavarde4272         0.6               5
Vardas4273          Pavarde4273         0.6               4
Vardas4274          Pavarde4274         3                 6
Vardas4275          Pavarde4275         4.8               9
Vardas4276          Pavarde4276         4.8               4
Vardas4277          Pavarde4277         3.6               5
Vardas4278          Pavarde4278         2.4               6
Vardas4279          Pavarde4279         1.2               6
Vardas4280          Pavarde4280         5.4               8
Vardas4281          Pavarde4281         4.8               5
Vardas4282          Pavarde4282         6                 4
Vardas4283          Pavarde4283         6                 5
Vardas4284          Pavarde4284         1.8               3
Vardas4285          Pavarde4285         1.8               6
Vardas4286          Pavarde4286         3                 5
Vardas4287          Pavarde4287         0.6               6
Vardas4288          Pavarde4288         6                 5
Vardas4289          Pavarde4289         3.6               4
Vardas4290          Pavarde4290         3                 7
Vardas4291          Pavarde4291         1.2               6
Vardas4292          Pavarde4292         2.4               6
Vardas4293          Pavarde4293         4.2               5
Vardas4294          Pavarde4294         4.2               5
Vardas4295          Pavarde4295         4.2               4
Vardas4296          Pavarde4296         3.6               4
Vardas4297          Pavarde4297         4.8               7
Vardas4298          Pavarde4298         1.8               3
Vardas4299          Pavarde4299         4.2               6
Vardas4300          Pavarde4300         3                 6
Vardas4301          Pavarde4301         3                 5
Vardas4302          Pavarde4302         2.4               5
Vardas4303          Pavarde4303         1.8               7
Vardas4304          Pavarde4304         3.6               5
Vardas4305          Pavarde4305         1.2               4
Vardas4306          Pavarde4306         1.2               5
Vardas4307          Pavarde4307         5.4               4
Vardas4308          Pavarde4308         4.8               4
Vardas4309          Pavarde4309         5.4               5
Vardas4310          Pavarde4310         3.6               4
Vardas4311          Pavarde4311         0.6               4
Vardas4312          Pavarde4312         0.6               4
Vardas4313          Pavarde4313         1.2               6
Vardas4314          Pavarde4314         3.6               3
Vardas4315          Pavarde4315         5.4               4
Vardas4316          Pavarde4316         4.8               3
Vardas4317          Pavarde4317         4.8               5
Vardas4318          Pavarde4318         1.8               4
Vardas4319          Pavarde4319         3                 4
Vardas4320          Pavarde4320         6                 6
Vardas4321          Pavarde4321         0.6               6
Vardas4322          Pavarde4322         3                 6
Vardas4323          Pavarde4323         5.4               3
Vardas4324          Pavarde4324         1.8               7
Vardas4325          Pavarde4325         3.6               6
Vardas4326          Pavarde4326         4.2               6
Vardas4327          Pavarde4327         3                 6
Vardas4328          Pavarde4328         4.8               3
Vardas4329          Pavarde4329         2.4               3
Vardas4330          Pavarde4330         4.2               5
Vardas4331          Pavarde4331         3.6               5
Vardas4332          Pavarde4332         4.2               6
Vardas4333          Pavarde4333         2.4               5
Vardas4334          Pavarde4334         2.4               6
Vardas4335          Pavarde4335         4.2               4
Vardas4336          Pavarde4336         0.6               4
Vardas4337          Pavarde4337         0.6               5
Vardas4338          Pavarde4338         1.8               5
Vardas4339          Pavarde4339         4.2               5
Vardas4340          Pavarde4340         6                 5
Vardas4341          Pavarde4341         4.2               6
Vardas4342          Pavarde4342         3.6               4
Vardas4343          Pavarde4343         4.2               6
Vardas4344          Pavarde4344         3.6               4
Vardas4345          Pavarde4345         4.2               5
Vardas4346          Pavarde4346         1.2               4
Vardas4347          Pavarde4347         0.6               6
Vardas4348          Pavarde4348         0.6               6
Vardas4349          Pavarde4349         4.2               5
Vardas4350          Pavarde4350         1.8               6
Vardas4351          Pavarde4351         5.4               3
Vardas4352          Pavarde4352         3                 6
Vardas4353          Pavarde4353         4.8               3
Vardas4354          Pavarde4354         6                 4
Vardas4355          Pavarde4355         3                 5
Vardas4356          Pavarde4356         4.8               5
Vardas4357          Pavarde4357         3.6               3
Vardas4358          Pavarde4358         6                 6
Vardas4359          Pavarde4359         3                 6
Vardas4360          Pavarde4360         6                 6
Vardas4361          Pavarde4361         4.8               3
Vardas4362          Pavarde4362         0.6               5
Vardas4363          Pavarde4363         4.2               5
Vardas4364          Pavarde4364         6                 5
Vardas4365          Pavarde4365         4.2               7
Vardas4366          Pavarde4366         4.2               4
Vardas4367          Pavarde4367         1.2               5
Vardas4368          Pavarde4368         0.6               3
Vardas4369          Pavarde4369         4.8               5
Vardas4370          Pavarde4370         5.4               5
Vardas4371          Pavarde4371         3.6               5
Vardas4372          Pavarde4372         1.2               6
Vardas4373          Pavarde4373         3.6               5
Vardas4374          Pavarde4374         1.2               6
Vardas4375          Pavarde4375         3                 6
Vardas4376          Pavarde4376         1.2               6
Vardas4377          Pavarde4377         2.4               5
Vardas4378          Pavarde4378         5.4               7
Vardas4379          Pavarde4379         2.4               6
Vardas4380          Pavarde4380         6                 5
Vardas4381          Pavarde4381         3.6               5
Vardas4382          Pavarde4382         4.8               5
Vardas4383          Pavarde4383         3.6               2
Vardas4384          Pavarde4384         4.2               3
Vardas4385          Pavarde4385         3.6               4
Vardas4386          Pavarde4386         6                 6
Vardas4387          Pavarde4387         2.4               8
Vardas4388          Pavarde4388         4.8               6
Vardas4389          Pavarde4389         2.4               4
Vardas4390          Pavarde4390         3.6               6
Vardas4391          Pavarde4391         3.6               2
Vardas4392          Pavarde4392         6                 5
Vardas4393          Pavarde4393         6                 5
Vardas4394          Pavarde4394         6                 7
Vardas4395          Pavarde4395         1.2               4
Vardas4396          Pavarde4396         2.4               5
Vardas4397          Pavarde4397         0.6               4
Vardas4398          Pavarde4398         4.8               3
Vardas4399          Pavarde4399         1.8               5
Vardas4400          Pavarde4400         5.4               5
Vardas4401          Pavarde4401         3.6               5
Vardas4402          Pavarde4402         4.8               4
Vardas4403          Pavarde4403         6                 4
Vardas4404          Pavarde4404         1.8               2
Vardas4405          Pavarde4405         4.8               4
Vardas4406          Pavarde4406         4.2               7
Vardas4407          Pavarde4407         5.4               4
Vardas4408          Pavarde4408         3                 6
Vardas4409          Pavarde4409         5.4               4
Vardas4410          Pavarde4410         3.6               6
Vardas4411          Pavarde4411         4.2               5
Vardas4412          Pavarde4412         2.4               3
Vardas4413          Pavarde4413         3                 5
Vardas4414          Pavarde4414         0.6               4
Vardas4415          Pavarde4415         6                 4
Vardas4416          Pavarde4416         1.8               4
Vardas4417          Pavarde4417         2.4               5
Vardas4418          Pavarde4418         3.6               5
Vardas4419          Pavarde4419         4.2               6
Vardas4420          Pavarde4420         4.8               4
Vardas4421          Pavarde4421         6                 4
Vardas4422          Pavarde4422         2.4               6
Vardas4423          Pavarde4423         1.2               2
Vardas4424          Pavarde4424         1.8               6
Vardas4425          Pavarde4425         3.6               5
Vardas4426          Pavarde4426         5.4               4
Vardas4427          Pavarde4427         1.2               5
Vardas4428          Pavarde4428         0.6               6
Vardas4429          Pavarde4429         4.2               8
Vardas4430          Pavarde4430         4.2               6
Vardas4431          Pavarde4431         4.2               3
Vardas4432          Pavarde4432         3                 6
Vardas4433          Pavarde4433         6                 6
Vardas4434          Pavarde4434         0.6               6
Vardas4435          Pavarde4435         1.2               6
Vardas4436          Pavarde4436         4.2               4
Vardas4437          Pavarde4437         3                 4
Vardas4438          Pavarde4438         3                 6
Vardas4439          Pavarde4439         1.8               5
Vardas4440          Pavarde4440         0.6               5
Vardas4441          Pavarde4441         1.2               7
Vardas4442          Pavarde4442         1.8               3
Vardas4443          Pavarde4443         6                 7
Vardas4444          Pavarde4444         1.8               6
Vardas4445          Pavarde4445         3                 3
Vardas4446          Pavarde4446         2.4               5
Vardas4447          Pavarde4447         1.8               8
Vardas4448          Pavarde4448         4.8               4
Vardas4449          Pavarde4449         1.8               4
Vardas4450          Pavarde4450         3                 6
Vardas4451          Pavarde4451         1.8               3
Vardas4452          Pavarde4452         3.6               6
Vardas4453          Pavarde4453         3.6               5
Vardas4454          Pavarde4454         3.6               6
Vardas4455          Pavarde4455         3.6               4
Vardas4456          Pavarde4456         6                 6
Vardas4457          Pavarde4457         4.8               5
Vardas4458          Pavarde4458         6                 4
Vardas4459          Pavarde4459         0.6               4
Vardas4460          Pavarde4460         6                 6
Vardas4461          Pavarde4461         4.8               5
Vardas4462          Pavarde4462         5.4               6
Vardas4463          Pavarde4463         0.6               6
Vardas4464          Pavarde4464         4.2               3
Vardas4465          Pavarde4465         4.8               7
Vardas4466          Pavarde4466         1.8               4
Vardas4467          Pavarde4467         0.6               5
Vardas4468          Pavarde4468         4.2               4
Vardas4469          Pavarde4469         3                 7
Vardas4470          Pavarde4470         1.2               5
Vardas4471          Pavarde4471         3.6               5
Vardas4472          Pavarde4472         0.6               3
Vardas4473          Pavarde4473         3.6               5
Vardas4474          Pavarde4474         2.4               3
Vardas4475          Pavarde4475         1.2               3
Vardas4476          Pavarde4476         6                 7
Vardas4477          Pavarde4477         5.4               5
Vardas4478          Pavarde4478         1.8               4
Vardas4479          Pavarde4479         0.6               4
Vardas4480          Pavarde4480         3                 7
Vardas4481          Pavarde4481         3                 4
Vardas4482          Pavarde4482         0.6               4
Vardas4483          Pavarde4483         0.6               4
Vardas4484          Pavarde4484         4.2               8
Vardas4485          Pavarde4485         6                 5
Vardas4486          Pavarde4486         4.8               3
Vardas4487          Pavarde4487         2.4               6
Vardas4488          Pavarde4488         3.6               4
Vardas4489          Pavarde4489         1.2               6
Vardas4490          Pavarde4490         2.4               4
Vardas4491          Pavarde4491         3                 4
Vardas4492          Pavarde4492         3.6               5
Vardas4493          Pavarde4493         1.8               6
Vardas4494          Pavarde4494         4.8               5
Vardas4495          Pavarde4495         1.8               6
Vardas4496          Pavarde4496         4.2               7
Vardas4497          Pavarde4497         3.6               4
Vardas4498          Pavarde4498         3.6               3
Vardas4499          Pavarde4499         6                 3
Vardas4500          Pavarde4500         6                 4
Vardas4501          Pavarde4501         4.2               4
Vardas4502          Pavarde4502         1.2               4
Vardas4503          Pavarde4503         1.2               6
Vardas4504          Pavarde4504         4.8               5
Vardas4505          Pavarde4505         1.2               3
Vardas4506          Pavarde4506         0.6               5
Vardas4507          Pavarde4507         2.4               6
Vardas4508          Pavarde4508         2.4               7
Vardas4509          Pavarde4509         4.2               4
Vardas4510          Pavarde4510         2.4               6
Vardas4511          Pavarde4511         6                 5
Vardas4512          Pavarde4512         3.6               6
Vardas4513          Pavarde4513         2.4               6
Vardas4514          Pavarde4514         3.6               4
Vardas4515          Pavarde4515         2.4               6
Vardas4516          Pavarde4516         3                 6
Vardas4517          Pavarde4517         1.2               5
Vardas4518          Pavarde4518         3                 5
Vardas4519          Pavarde4519         2.4               4
Vardas4520          Pavarde4520         4.2               5
Vardas4521          Pavarde4521         3.6               5
Vardas4522          Pavarde4522         4.2               6
Vardas4523          Pavarde4523         6                 4
Vardas4524          Pavarde4524         3.6               5
Vardas4525          Pavarde4525         1.8               5
Vardas4526          Pavarde4526         4.8               6
Vardas4527          Pavarde4527         1.2               3
Vardas4528          Pavarde4528         3.6               5
Vardas4529          Pavarde4529         1.2               7
Vardas4530          Pavarde4530         2.4               5
Vardas4531          Pavarde4531         3                 5
Vardas4532          Pavarde4532         2.4               5
Vardas4533          Pavarde4533         3.6               6
Vardas4534          Pavarde4534         4.8               4
Vardas4535          Pavarde4535         3.6               7
Vardas4536          Pavarde4536         5.4               3
Vardas4537          Pavarde4537         1.2               6
Vardas4538          Pavarde4538         2.4               4
Vardas4539          Pavarde4539         5.4               5
Vardas4540          Pavarde4540         0.6               6
Vardas4541          Pavarde4541         4.8               4
Vardas4542          Pavarde4542         6                 7
Vardas4543          Pavarde4543         1.2               5
Vardas4544          Pavarde4544         0.6               5
Vardas4545          Pavarde4545         1.2               4
Vardas4546          Pavarde4546         4.8               5
Vardas4547          Pavarde4547         2.4               6
Vardas4548          Pavarde4548         2.4               3
Vardas4549          Pavarde4549         2.4               6
Vardas4550          Pavarde4550         2.4               7
Vardas4551          Pavarde4551         1.8               6
Vardas4552          Pavarde4552         1.8               7
Vardas4553          Pavarde4553         4.8               7
Vardas4554          Pavarde4554         4.2               5
Vardas4555          Pavarde4555         4.8               6
Vardas4556          Pavarde4556         3.6               3
Vardas4557          Pavarde4557         1.2               6
Vardas4558          Pavarde4558         3                 5
Vardas4559          Pavarde4559         3.6               3
Vardas4560          Pavarde4560         1.8               5
Vardas4561          Pavarde4561         6                 4
Vardas4562          Pavarde4562         0.6               5
Vardas4563          Pavarde4563         5.4               5
Vardas4564          Pavarde4564         6                 4
Vardas4565          Pavarde4565         6                 6
Vardas4566          Pavarde4566         1.8               5
Vardas4567          Pavarde4567         4.8               5
Vardas4568          Pavarde4568         5.4               5
Vardas4569          Pavarde4569         2.4               5
Vardas4570          Pavarde4570         4.8               7
Vardas4571          Pavarde4571         1.8               3
Vardas4572          Pavarde4572         4.8               5
Vardas4573          Pavarde4573         1.2               4
Vardas4574          Pavarde4574         1.8               7
